,open,close,close_open
0,2021-07-18 12:52:08,2021-07-18 13:27:43,0 days 00:35:35
1,2021-07-18 13:43:09,2021-07-18 13:45:31,0 days 00:02:22
2,2021-07-18 14:00:25,2021-07-18 14:03:28,0 days 00:03:03
3,2021-07-18 14:08:10,2021-07-18 14:09:29,0 days 00:01:19
4,2021-07-20 14:51:31,2021-07-20 14:52:47,0 days 00:01:16
5,2021-07-20 15:01:47,2021-07-20 15:04:40,0 days 00:02:53
6,2021-07-20 15:10:37,2021-07-20 15:13:24,0 days 00:02:47
7,2021-07-30 12:38:14,2021-07-30 12:40:48,0 days 00:02:34
8,2021-07-30 12:42:54,2021-07-30 12:47:36,0 days 00:04:42
9,2021-07-30 13:00:09,2021-07-30 13:02:45,0 days 00:02:36
10,2021-08-01 17:26:10,2021-08-01 17:30:26,0 days 00:04:16
11,2021-08-01 17:31:22,2021-08-02 01:52:03,0 days 08:20:41
12,2021-08-02 22:05:33,2021-08-02 23:39:47,0 days 01:34:14
13,2021-08-03 17:43:45,2021-08-04 01:56:20,0 days 08:12:35
14,2021-08-04 21:30:43,2021-08-05 01:07:23,0 days 03:36:40
15,2021-08-05 16:29:51,2021-08-05 18:56:59,0 days 02:27:08
16,2021-08-05 19:22:59,2021-08-05 20:50:19,0 days 01:27:20
17,2021-08-05 21:09:43,2021-08-06 01:50:34,0 days 04:40:51
18,2021-08-06 21:32:32,2021-08-07 00:51:57,0 days 03:19:25
19,2021-08-07 15:39:06,2021-08-07 16:07:22,0 days 00:28:16
20,2021-10-07 07:51:27,2021-10-07 08:10:55,0 days 00:19:28
21,2021-10-07 08:55:14,2021-10-07 08:56:41,0 days 00:01:27
22,2021-10-10 13:22:24,2021-10-10 13:57:31,0 days 00:35:07
23,2021-10-10 14:34:26,2021-10-11 03:18:53,0 days 12:44:27
24,2021-10-23 13:06:46,2021-10-23 13:46:09,0 days 00:39:23
25,2021-10-23 14:30:27,2021-10-23 14:53:05,0 days 00:22:38
