,open,close,close_open
0,2021-07-18 12:52:08,2021-07-18 13:27:43,0
1,2021-07-18 13:43:09,2021-07-18 13:45:31,0
2,2021-07-18 14:00:25,2021-07-18 14:03:28,0
3,2021-07-18 14:08:10,2021-07-18 14:09:29,0
4,2021-07-20 14:51:31,2021-07-20 14:52:47,0
5,2021-07-20 15:01:47,2021-07-20 15:04:40,0
6,2021-07-20 15:10:37,2021-07-20 15:13:24,0
7,2021-07-30 12:38:14,2021-07-30 12:40:48,0
8,2021-07-30 12:42:54,2021-07-30 12:47:36,0
9,2021-07-30 13:00:09,2021-07-30 13:02:45,0
10,2021-08-01 17:26:10,2021-08-01 17:30:26,0
19,2021-08-07 15:39:06,2021-08-07 16:07:22,0
20,2021-10-07 07:51:27,2021-10-07 08:10:55,0
21,2021-10-07 08:55:14,2021-10-07 08:56:41,0
22,2021-10-10 13:22:24,2021-10-10 13:57:31,0
24,2021-10-23 13:06:46,2021-10-23 13:46:09,0
25,2021-10-23 14:30:27,2021-10-23 14:53:05,0
26,2021-10-23 14:56:06,2021-10-23 15:02:39,0
40,2021-11-09 14:07:52,2021-11-09 14:18:19,0
50,2021-11-20 22:35:00,2021-11-20 22:41:07,0
55,2021-11-23 09:16:21,2021-11-23 09:47:58,0
57,2021-11-23 20:30:57,2021-11-23 21:17:37,0
63,2021-11-28 14:52:34,2021-11-28 15:16:10,0
65,2021-11-29 14:07:24,2021-11-29 14:45:21,0
68,2021-12-01 17:10:07,2021-12-01 17:53:05,0
75,2021-12-10 15:05:29,2021-12-10 15:24:56,0
77,2021-12-10 19:36:18,2021-12-10 19:39:35,0
78,2021-12-10 19:50:48,2021-12-10 20:17:21,0
79,2021-12-10 20:23:57,2021-12-10 20:44:41,0
95,2021-12-27 14:28:37,2021-12-27 15:10:18,0
99,2021-12-30 02:05:54,2021-12-30 02:23:57,0
100,2021-12-30 12:29:06,2021-12-30 12:30:42,0
101,2021-12-30 12:32:42,2021-12-30 12:34:13,0
103,2021-12-31 12:41:19,2021-12-31 13:27:52,0
106,2022-01-04 20:23:17,2022-01-04 20:47:58,0
114,2022-01-09 21:11:07,2022-01-09 21:22:48,0
117,2022-01-13 20:50:29,2022-01-13 21:42:12,0
126,2022-01-22 02:30:43,2022-01-22 02:42:21,0
129,2022-01-25 17:04:20,2022-01-25 17:31:30,0
142,2022-02-03 20:26:13,2022-02-03 21:18:34,0
144,2022-02-06 00:34:41,2022-02-06 01:18:20,0
147,2022-02-09 18:04:17,2022-02-09 18:34:15,0
149,2022-02-11 14:13:22,2022-02-11 14:47:23,0
154,2022-02-13 18:45:01,2022-02-13 19:20:17,0
164,2022-02-21 23:32:24,2022-02-21 23:36:28,0
167,2022-02-24 12:04:12,2022-02-24 12:38:40,0
174,2022-03-04 15:51:57,2022-03-04 15:55:38,0
175,2022-03-04 18:14:22,2022-03-04 18:49:07,0
176,2022-03-04 19:57:08,2022-03-04 20:29:33,0
177,2022-03-05 18:56:33,2022-03-05 19:02:21,0
184,2022-03-14 16:14:41,2022-03-14 16:42:08,0
185,2022-03-14 16:46:33,2022-03-14 16:48:20,0
189,2022-03-17 14:42:38,2022-03-17 15:03:49,0
191,2022-03-17 18:24:03,2022-03-17 18:31:09,0
197,2022-03-27 16:01:08,2022-03-27 16:34:55,0
212,2022-04-08 20:02:35,2022-04-08 20:11:13,0
213,2022-04-08 20:18:03,2022-04-08 20:33:17,0
214,2022-04-08 21:05:01,2022-04-08 21:47:06,0
216,2022-04-11 16:56:16,2022-04-11 17:16:43,0
220,2022-04-19 17:37:08,2022-04-19 17:51:09,0
221,2022-04-19 18:28:53,2022-04-19 18:46:21,0
223,2022-04-19 22:15:43,2022-04-19 23:14:58,0
245,2022-05-21 17:19:30,2022-05-21 18:11:09,0
248,2022-05-22 16:21:50,2022-05-22 17:01:08,0
251,2022-05-29 16:45:41,2022-05-29 16:49:44,0
252,2022-05-29 17:34:46,2022-05-29 18:04:51,0
255,2022-05-31 18:54:23,2022-05-31 19:52:17,0
264,2022-06-18 23:05:57,2022-06-18 23:54:53,0
269,2022-07-01 23:16:42,2022-07-01 23:49:18,0
